zone,m2,sum,count,min,max,mean
3.00000000,17274668.69154438,680.24653703,"2590",0.00000000,23.93658638,0.26264345
4.00000000,43273378.56013124,239.24980714,"6488",0.00000000,1.95054221,0.03687574
1.00000000,14860216.92847910,21031.14035346,"2228",0.00000000,152.60049438,9.43947054
2.00000000,14560077.89715883,4829.19703016,"2183",0.00000000,38.35589600,2.21218371
